Key,Id,English(en),French(fr)
"UI/Quit",18029022411055104,"Quit","Quitter",
"UI/Options",18029022411055105,"Options","Options",
"UI/Start",18029022411055106,"Start","Commencer",
"UI/Continue",18029022411055107,"Continue","Continuer",
"UI/MainVolume",18029022411055108,"Main volume","Volume principal",
"UI/SoundVolume",18029022411055109,"Sound volume","Volume sonore",
"UI/MusicVolume",18029022411055110,"Music volume","Volume musique",
"UI/Cheat",18029022411055111,"Fullscreen","Plein écran",
"UI/Resolution",18029022411055112,"Resolution","Résolution",
"UI/Pause",18029022411055113,"Pause","Pause",
"UI/LevelSelection",18029022411055114,"Level selection","Sélection niveau",
"UI/CreatedBy",18029022411055115,"A game by","Créé par",
"UI/ThanksForPlaying",18029022411055116,"Thanks for playing!","Merci d'avoir joué!",
"UI/Language",18029022411055117,"Language","Langue",
"UI/Credits",18029022411055118,"Credits","Crédits",
"UI/Back",18029022411055119,"Back","Retour",
"UI/Intro",18029022411055120,"TODO: intro","TODO: intro FR",
"UI/Ending",18029022411055121,"TODO: ending","TODO: ending FR",
"UI/AssistMode",23477248098394112,"Assist Mode","Mode assisté",
"UI/Inputs/LeftStick",18029022411055122,"Move","Movement",
"UI/Inputs/DPad",18029022411055123,"Move","Movement",
"UI/Inputs/ActionLeft",18029022411055124,"Dig / Confirm","Creuser / Confirmer",
"UI/Inputs/ActionDown",18029022411055125,"Jump / Cancel","Sauter / Annuler",
"UI/Inputs/ActionRight",18029022411055126,"ActionRight","ActionRight",
"UI/Inputs/ActionUp",18029022411055127,"ActionUp","ActionUp",
"UI/Inputs/Start",18029022411055128,"Pause","Pause",
"UI/Inputs/Keyboard/E",18029022411055129,"Dig / Confirm","Creuser / Confirmer",
"UI/Inputs/Keyboard/ArrowDown",18029022411055131,"Move","Movement",
"UI/Inputs/Keyboard/Space",18029022411055130,"Jump / Cancel","Sauter / Annuler",
